,sampno,longitude,latitude,altitude,speed,smooth,acceleration1000,acceleration,angle,moyenT,difTempsSec,StoopMoove,StopMoove1,Id
488104,8572161,2.3159110000000003,48.810166,370.700012207031,20.2999992370605,18.766666412353498,0.15011993637084853,0.15011993637084853,198.1733546957805,1,5.0,1,1,5669
488105,8572161,2.315227,48.810195,370.100006103516,20.7000007629395,19.5333334604899,0.02224008483887232,0.02224008483887232,198.15228599038682,1,5.0,1,1,5669
488106,8572161,2.314528,48.810237,378.299987792969,18.2999992370605,19.766666412353498,0.13344008483887232,-0.13344008483887232,198.13249200756127,1,5.0,1,1,5669
488107,8572161,2.313928,48.810369,389.0,18.2000007629395,19.066666920979827,0.005559915161127726,-0.005559915161127726,198.11597890054242,1,5.0,1,1,5669
488108,8572161,2.3132580000000003,48.810491,394.299987792969,22.2000007629395,19.566666920979827,0.2224,0.2224,198.09460300298,1,5.0,1,1,5669
488279,8572161,2.3134740000000003,48.832,408.399993896484,4.5,6.36666679382324,0.004942223400539811,-0.004942223400539811,197.4987869383588,1,45.0,1,1,5672
488280,8572161,2.313644,48.832047,411.0,3.20000004768372,4.333333412806193,0.07227999734878518,-0.07227999734878518,197.49894031241539,1,5.0,1,1,5672
488281,8572161,2.31388,48.832105,414.0,10.3000001907349,6.0000000794728745,0.3947600079536457,0.3947600079536457,197.50301116840248,1,5.0,1,1,5672
488282,8572161,2.314193,48.832221,414.299987792969,9.89999961853027,7.7999999523162975,0.0222400318145775,-0.0222400318145775,197.51045927084786,1,5.0,1,1,5672
488283,8572161,2.314484,48.83235,416.600006103516,12.5,10.899999936421725,0.14456002120971706,0.14456002120971706,197.5168945341312,1,5.0,1,1,5672
488284,8572161,2.314833,48.832457,419.5,10.5,10.96666653951009,0.1112,-0.1112,197.52103630338863,1,5.0,1,1,5672
488285,8572161,2.315105,48.832445,420.299987792969,9.10000038146973,10.700000127156574,0.07783997879028304,-0.07783997879028304,197.52380510106659,1,5.0,1,1,5672
488422,8572161,2.27677,48.834147,242.300003051758,26.2999992370605,29.83333269755044,0.2279600212097211,-0.2279600212097211,196.4185637039283,1,5.0,1,1,5676
488423,8572161,2.276024,48.834435,244.899993896484,29.5,28.733332951863602,0.1779200424194361,0.1779200424194361,196.38926408705902,1,5.0,1,1,5676
488424,8572161,2.275224,48.834725,246.899993896484,32.4000015258789,29.40000025431313,0.1612400848388667,0.1612400848388667,196.36001889327224,1,5.0,1,1,5676
488425,8572161,2.274323,48.835017,237.5,33.9000015258789,31.933334350585927,0.08340000000000032,0.08340000000000032,196.32915678389446,1,5.0,1,1,5676
488426,8572161,2.273319,48.835239,232.199996948242,35.4000015258789,33.90000152587889,0.08339999999999996,0.08339999999999996,196.293065673278,1,5.0,1,1,5676
488427,8572161,2.27227,48.835437,224.899993896484,36.2000007629395,35.16666793823243,0.04447995758056962,0.04447995758056962,196.25733513987893,1,5.0,1,1,5676
488428,8572161,2.2711810000000003,48.835549,221.899993896484,36.4000015258789,36.000001271565765,0.011120042419430121,0.011120042419430121,196.219040095468,1,5.0,1,1,5676
488429,8572161,2.270096,48.835509,219.399993896484,35.5999984741211,36.06666692097984,0.044480169677733265,-0.044480169677733265,196.1798857145252,1,5.0,1,1,5676
488430,8572161,2.269095,48.835371,214.800003051758,31.7999992370605,34.59999974568683,0.2112799575805696,-0.2112799575805696,196.14659666345256,1,5.0,1,1,5676
488431,8572161,2.268175,48.835237,217.0,29.7999992370605,32.39999898274736,0.1112000000000002,-0.1112000000000002,196.12149409138112,1,5.0,1,1,5676
488432,8572161,2.267266,48.835092,222.300003051758,32.5,31.366666158040328,0.15012004241943622,0.15012004241943622,196.09816344632569,1,5.0,1,1,5676
488433,8572161,2.266253,48.835003,225.100006103516,34.4000015258789,32.23333358764647,0.10564008483886696,0.10564008483886696,196.0775017494527,1,5.0,1,1,5676
488774,8572161,2.320077,48.818359,299.70001220703097,3.20000004768372,3.0000000000000027,0.011120002651214652,0.011120002651214652,198.04199921179656,3,15.0,1,1,5680
488869,8572161,2.283476,48.823513,307.29998779296903,19.5,11.333333492279044,0.4114399787902847,0.4114399787902847,196.8843515284484,3,5.0,1,1,5683
488870,8572161,2.282962,48.823915,306.100006103516,26.100000381469695,19.233333587646467,0.3669600212097152,0.3669600212097152,196.87371051245717,3,5.0,1,1,5683
488871,8572161,2.28244,48.82438300000001,304.79998779296903,25.5,23.700000127156567,0.03336002120971511,-0.03336002120971511,196.85053150460385,3,5.0,1,1,5683
488872,8572161,2.281952,48.824776,292.70001220703097,25.899999618530305,25.83333333333333,0.022239978790284987,0.022239978790284987,196.81990591641912,3,5.0,1,1,5683
488873,8572161,2.281361,48.825216,284.20001220703097,27.2999992370605,26.233332951863602,0.07783997879027886,0.07783997879027886,196.7969639044453,3,5.0,1,1,5683
488874,8572161,2.280864,48.825574,274.399993896484,21.1000003814697,24.7666664123535,0.3447199363708485,-0.3447199363708485,196.76489766857685,3,5.0,1,1,5683
488875,8572161,2.2806610000000003,48.825742,268.70001220703097,7.699999809265139,18.699999809265112,0.7450400318145737,-0.7450400318145737,196.7337663857129,3,5.0,1,1,5683
489122,8572161,2.318105,48.811157,576.200012207031,11.5,10.833333333333318,0.03891998939513961,-0.03891998939513961,198.164651009972,1,5.0,1,1,5689
489123,8572161,2.318414,48.811053,577.4000244140619,8.60000038146973,10.766666730244944,0.161239978790283,-0.161239978790283,198.18187730371682,1,5.0,1,1,5689
