,sampno,speed,acceleration,angle,smooth,Id1,longitude,latitude,difTempsSec,moyenT,altitude,StoopMoove,StopMoove1,DebFin
867,8435227,46.0,0.02224008483886664,202.87330456226616,45.89999898274739,215,2.518313,48.849624,5.0,4,309.399993896484,1,1,0
868,8435227,46.2999992370605,0.01667995758056371,202.9246416702972,45.96666590372719,215,2.519431,48.849071,5.0,4,303.0,1,1,0
869,8435227,45.4000015258789,-0.05003987274169682,202.97016849984158,45.90000025431314,215,2.520544,48.848504,5.0,4,295.0,1,1,0
870,8435227,45.9000015258789,0.027800000000000224,203.01677047175338,45.8666674296061,215,2.521649,48.84794,5.0,4,300.0,1,1,0
871,8435227,41.7999992370605,-0.2279601272583033,203.06515454832447,44.366667429606096,215,2.522732,48.847419,5.0,4,292.0,1,1,0
872,8435227,35.4000015258789,-0.3558398727416968,203.11058790605202,41.033334096272775,215,2.523637,48.846917,5.0,4,280.899993896484,1,1,0
873,8435227,30.7000007629395,-0.26132004241943074,203.14952185402854,35.96666717529297,215,2.524327,48.846417,5.0,4,268.100006103516,1,1,0
874,8435227,21.0,-0.5393200424194362,203.1893606351606,29.033334096272803,215,2.524767,48.84605300000001,5.0,4,265.399993896484,1,1,0
875,8435227,9.60000038146973,-0.6338399787902832,203.21710599562923,20.433333714803076,215,2.524989,48.845797,5.0,4,273.100006103516,1,1,0
876,8435227,3.5,8.377459781138782e-06,205.51970810073487,2.5999999841054304,216,2.337792,48.876257,46458.0,2,389.700012207031,1,1,0
877,8435227,2.79999995231628,-0.00926666666666667,198.61082461618003,3.1999999682108538,217,2.372662,48.855007,15.0,2,367.600006103516,0,0,0
878,8435227,2.79999995231628,0.0,198.59682658567291,2.9666666189829467,217,2.372808,48.854867,10.0,2,344.700012207031,0,0,0
879,8435227,3.4000000953674303,-0.01111998939514176,198.6767913187357,3.300000031789143,218,2.374056,48.853875,5.0,2,375.100006103516,1,1,0
880,8435227,2.09999990463257,-0.009035001325607282,198.68116517023103,3.03333330154419,218,2.373736,48.85417800000001,40.0,2,390.799987792969,1,0,0
881,8435227,5.0,0.16124000530242913,198.65932080433777,3.5,218,2.3736740000000003,48.854339,5.0,2,393.299987792969,1,1,0
882,8435227,2.5999999046325697,-1.2859059160923268e-05,199.10358989659332,2.966666618982953,219,2.337475,48.872495,21619.0,2,366.600006103516,1,1,0
883,8435227,2.29999995231628,-0.005559999116261904,197.1281823304477,2.8333332538604727,219,2.337556,48.87267,15.0,2,411.5,1,0,0
884,8435227,2.2000000476837203,-0.005559994697570314,197.1237657980372,2.3666666348775234,219,2.337525,48.872743,5.0,2,419.200012207031,1,0,0
885,8435227,2.29999995231628,0.0011119989395140628,197.12565782210618,2.2666666507720934,219,2.337435,48.873036,25.0,2,426.0,1,0,0
886,8435227,2.29999995231628,0.0,197.11444443423818,2.2666666507720934,219,2.337553,48.873286,45.0,2,427.799987792969,1,0,0
887,8435227,2.79999995231628,0.0030888888888888914,197.11814774423738,2.4666666189829463,219,2.3380080000000003,48.87386,45.0,2,425.200012207031,1,1,0
888,8435227,2.29999995231628,-0.027800000000000026,197.10505731939224,2.4666666189829463,219,2.338114,48.873899,5.0,2,424.100006103516,1,0,0
889,8435227,2.5,0.002780000662803711,197.110986671183,2.5333333015441863,219,2.338193,48.874122,20.0,2,421.200012207031,1,1,0
890,8435227,2.4000000953674303,-0.002779997348785435,197.1064359715997,2.4000000158945696,219,2.3381990000000004,48.874297,10.0,2,420.0,1,0,0
891,8435227,2.5,0.0018533315658569567,197.10380305211618,2.4666666984558097,219,2.33826,48.874557,15.0,2,419.100006103516,1,1,0
892,8435227,2.5999999046325697,0.0011119989395141738,197.10054656956,2.5,219,2.3383990000000003,48.874903,25.0,2,419.299987792969,1,1,0
893,8435227,2.79999995231628,0.011120002651214312,197.09034485756888,2.6333332856496163,219,2.338442,48.874999,5.0,2,419.399993896484,1,1,0
894,8435227,2.79999995231628,0.0,197.0909243869506,2.7333332697550428,219,2.338484,48.875184,10.0,2,419.799987792969,1,1,0
895,8435227,2.9000000953674303,0.005560007953643953,197.0855307768203,2.8333333333333304,219,2.338491,48.875283,5.0,2,419.799987792969,1,1,0
896,8435227,2.79999995231628,-0.005560007953643953,197.08289924597648,2.8333333333333304,219,2.338516,48.87537,5.0,2,419.899993896484,1,1,0
897,8435227,2.29999995231628,-0.027800000000000026,197.0823389080961,2.666666666666663,219,2.338606,48.875505,5.0,2,419.799987792969,1,0,0
898,8435227,3.5,0.033360001325607416,197.08375931920204,2.8666666348775203,219,2.338348,48.875754,10.0,2,422.399993896484,1,1,0
899,8435227,2.79999995231628,-0.006486667108535804,197.07069631651402,2.8666666348775203,219,2.338422,48.87605,30.0,2,421.600006103516,0,0,0
900,8435227,2.5,-0.01667999734878518,197.05977459817225,2.93333331743876,219,2.338508,48.87608400000001,5.0,2,421.299987792969,0,0,0
901,8435227,3.0,0.0278,197.0614866887123,2.7666666507720934,219,2.3385830000000003,48.876123,5.0,2,421.200012207031,0,0,0
902,8435227,2.2000000476837203,-0.04447999734878516,197.06262664349939,2.56666668256124,219,2.338634,48.876161,5.0,2,421.5,0,0,0
903,8435227,2.09999990463257,-0.0018533359845479844,197.06545113581643,2.4333333174387635,219,2.338673,48.876314,15.0,2,425.200012207031,0,0,0
904,8435227,2.9000000953674303,0.04448001060485825,197.0608625644793,2.400000015894573,219,2.338724,48.876382,5.0,2,427.399993896484,0,0,0
905,8435227,2.79999995231628,-0.005560007953643953,197.0609933652695,2.599999984105427,219,2.338811,48.876471,5.0,2,429.799987792969,1,1,0
906,8435227,3.0999999046325697,0.01667999734878569,197.06212558948886,2.93333331743876,219,2.338843,48.876606,5.0,2,432.399993896484,1,1,0
907,8435227,2.09999990463257,-0.02779999999999999,197.0599096527296,2.6666665871938067,219,2.338887,48.87676,10.0,2,434.399993896484,1,0,0
908,8435227,2.2000000476837203,0.0027800039768219762,197.05436461964646,2.466666618982953,219,2.3389580000000003,48.876775,10.0,2,436.399993896484,1,0,0
909,8435227,2.2000000476837203,0.0,197.0593357587088,2.1666666666666696,219,2.339151,48.876954,20.0,2,441.299987792969,1,0,0
910,8435227,2.79999995231628,0.03335999469757034,197.0581172381262,2.400000015894573,219,2.3392150000000003,48.877026,5.0,2,442.700012207031,1,1,0
911,8435227,2.79999995231628,0.0,197.0582171518071,2.599999984105427,219,2.33927,48.877104,10.0,2,443.100006103516,1,1,0
912,8435227,4.59999990463257,0.10007999734878573,197.0581191650821,3.39999993642171,219,2.339178,48.877199,5.0,2,443.100006103516,1,1,0
913,8435227,3.20000004768372,-0.013420688283854496,197.04861501300618,3.53333330154419,219,2.339354,48.877077,29.0,2,443.0,1,1,0
914,8435227,3.70000004768372,0.0139,197.0583123523352,3.8333333333333366,219,2.339404,48.877025,10.0,2,442.100006103516,1,1,0
915,8435227,2.5999999046325697,-0.003597647526684938,197.0576290803466,3.1666666666666696,219,2.338643,48.8768,85.0,2,454.0,1,1,0
916,8435227,6.599999904632571,0.07969333244959527,197.063040769544,3.93333331743876,220,2.339256,48.876901,15.0,2,435.799987792969,1,1,0
917,8435227,2.70000004768372,-0.011120002651214312,197.08139313262922,2.7333333492279057,221,2.339034,48.87618300000001,5.0,2,262.899993896484,1,1,0
918,8435227,3.0999999046325697,0.02223999204635605,197.07414036968945,2.900000015894573,221,2.338918,48.87622,5.0,2,257.399993896484,1,1,0
919,8435227,2.2000000476837203,-0.05003999204635603,197.06952012193454,2.6666666666666696,221,2.338819,48.876243,5.0,2,248.800003051758,0,0,0
920,8435227,2.79999995231628,0.03335999469757034,197.06608479597958,2.6999999682108564,221,2.338711,48.876268,5.0,2,240.199996948242,1,1,0
921,8435227,2.70000004768372,-0.00555999469757036,197.06174669166901,2.56666668256124,221,2.338526,48.876266,5.0,2,232.399993896484,0,0,0
922,8435227,2.79999995231628,0.00555999469757036,197.05666918923302,2.7666666507720934,221,2.3384560000000003,48.876276,5.0,2,222.699996948242,1,1,0
923,8435227,2.4000000953674303,-0.02223999204635605,197.0545575585456,2.6333333651224766,221,2.338385,48.876295,5.0,2,213.199996948242,1,0,0
924,8435227,3.0999999046325697,0.03891998939514174,197.0521614480365,2.7666666507720934,221,2.338289,48.876322,5.0,2,204.0,1,1,0
925,8435227,3.0999999046325697,0.0,197.04840475082915,2.8666666348775234,221,2.338193,48.876336,5.0,2,195.100006103516,1,1,0
926,8435227,2.5,-0.03335999469757086,197.0451698892936,2.8999999364217133,221,2.338106,48.87634600000001,5.0,2,186.399993896484,1,1,0
927,5728800,2.29999995231628,-0.005560007953643975,197.6246836644577,2.2666666507720934,222,2.356502,48.874636,5.0,2,302.70001220703097,1,0,0
928,5728800,2.70000004768372,0.0,197.67239180703226,2.7333333492279057,223,2.357275,48.874206,20.0,2,31.2999992370605,1,1,0
929,5728800,2.2000000476837203,-0.02779999999999998,197.65432793074672,2.5333333810170533,223,2.357221,48.874195,5.0,2,30.100000381469695,1,0,0
930,5728800,2.09999990463257,-0.005560007953643953,197.65288754020008,2.3333333333333366,223,2.3571560000000003,48.874177,5.0,2,29.600000381469695,1,0,0
931,5728800,2.9000000953674303,0.04448001060485825,197.65115086586758,2.400000015894573,223,2.357093,48.874145,5.0,2,28.5,0,0,0
932,5728800,2.5999999046325697,-0.016680010604858263,197.65108636766,2.53333330154419,223,2.357011,48.874154,5.0,2,27.0,0,0,0
933,5728800,2.70000004768372,0.005560007953643953,197.6482898924069,2.7333333492279057,223,2.356919,48.874155,5.0,2,25.7000007629395,1,1,0
934,5728800,2.5999999046325697,-0.005560007953643953,197.6460242968621,2.63333328564962,223,2.356825,48.874175,5.0,2,24.100000381469695,0,0,0
935,5728800,2.5999999046325697,0.0,197.6421167811552,2.63333328564962,223,2.356747,48.874166,5.0,2,22.7000007629395,0,0,0
936,5728800,2.5,-0.01667999734878518,197.6673590555067,2.5666666825612365,224,2.358453,48.87494,5.0,2,-104.900001525879,0,0,0
937,5728800,2.5,0.0,197.6683022662752,2.599999984105427,224,2.358468,48.874879,5.0,2,-100.699996948242,0,0,0
938,5728800,2.5999999046325697,0.00555999469757087,197.6705718410117,2.53333330154419,224,2.358443,48.874829,5.0,2,-96.6999969482422,0,0,0
939,5728800,2.5,-0.00555999469757087,197.67112333340825,2.53333330154419,224,2.35841,48.874778000000006,5.0,2,-92.9000015258789,0,0,0
940,5728800,2.5999999046325697,0.00555999469757087,197.6715364977939,2.56666660308838,224,2.358352,48.874729,5.0,2,-88.0,1,1,0
941,5728800,2.29999995231628,-0.016679997348785714,197.67121734177516,2.4666666189829494,224,2.358328,48.874684,5.0,2,-86.0999984741211,1,0,0
942,5728800,2.29999995231628,0.0,197.67144140821028,2.3999999364217097,224,2.358186,48.874628,5.0,2,-81.3000030517578,1,0,0
943,5728800,2.70000004768372,0.022240005302429658,197.6689113888815,2.43333331743876,224,2.358175,48.874578,5.0,2,-77.0999984741211,1,1,0
